0,地址,名称,维度,经度,类型
94,,新街口北(公交站),32.0458706891208,118.77892438310055,公交站
95,,芦席营北(公交站),32.087363185020315,118.77483440509012,公交站
96,,北京西路·草场门(公交站),32.062905882252515,118.7529690841938,公交站
97,,水佐岗(公交站),32.073170342942994,118.75367836060636,公交站
98,,虎踞关南(公交站),32.052941829307876,118.75841930071033,公交站
99,,大锏银巷(公交站),32.046068754620194,118.77144640919393,公交站
100,,省人民医院(公交站),32.04966605327086,118.76191673878267,公交站
101,,南瑞路·紫竹林(公交站),32.08628796106988,118.76736468080833,公交站
102,,中央门南(公交站),32.08796689784159,118.77892850505005,公交站
103,,网巾市(公交站),32.04630264133287,118.78584732952285,公交站
104,,省人民医院2(公交站),32.049244501593115,118.76116527595308,公交站
105,,大行宫北(公交站),32.047778256627,118.79024829708497,公交站
106,,青石街(公交站),32.04527664397387,118.78302717193904,公交站
107,,中山北路·三牌楼(公交站),32.080405939540675,118.75646278952557,公交站
108,,省人民医院1(公交站),32.049244205952256,118.76066095235755,公交站
109,,古平岗南(公交站),32.07228870172526,118.75213597749689,公交站
110,,牌楼巷(公交站),32.04638895627676,118.76702506373498,公交站
111,,古林公园(公交站),32.06762540786877,118.75098412950234,公交站
112,,三牌楼大街北(公交站),32.08245135588639,118.75857765614157,公交站
113,,浮桥(公交站),32.04974990634456,118.7949482738456,公交站
114,,新街口西(公交站),32.044124662809956,118.77382221466122,公交站
115,,虎踞北路·草场门(公交站),32.064469607731816,118.75046631471047,公交站
116,,黑龙江路东(公交站),32.08929571530177,118.77300811989372,公交站
117,,古平岗(公交站),32.073196644518404,118.75109063715183,公交站
118,,虎踞路·草场门(公交站),32.06060084153255,118.7508787569868,公交站
119,,汉中路·莫愁路(公交站),32.04451345183198,118.76930837134698,公交站
120,,黑龙江路(公交站),32.08916692445821,118.77010603938214,公交站
121,,新街口东(公交站),32.04356946262143,118.78162130244382,公交站
122,,太平门南(公交站),32.05799039611699,118.80317198854918,公交站
123,,金贸大街·建宁路(公交站),32.09020559063869,118.77464992413148,公交站
124,,广东路·新门口(公交站),32.08619570925383,118.76139400853032,公交站
125,,南京站·南广场东(公交站),32.08619380755922,118.79363759122057,公交站
126,,南京火车站(公交站),32.086361688874064,118.79353840102054,公交站
127,,南京站·南广场西(公交站),32.088598256757464,118.7889453786978,公交站
128,,龙蟠路·南京站东(公交站),32.08341874225452,118.79772023882973,公交站
129,,古平岗西(公交站),32.07274223751154,118.74949638002475,公交站
130,,汉中门总站(公交站),32.04503519314312,118.76371846449808,公交站
131,,清凉山公园(公交站),32.05019000087443,118.75569524936888,公交站
132,,福建路(公交站),32.08514165840092,118.75802711390686,公交站
133,,珠江路·小营(公交站),32.04925541684235,118.79781455332477,公交站
134,,福建路·萨家湾(公交站),32.08371751606732,118.7561493425976,公交站
135,,国防园(公交站),32.054957715379366,118.7514284028903,公交站
136,,新庄广场西(公交站),32.08223608719968,118.79989042488646,公交站
137,,草场门大桥东(公交站),32.06168767896114,118.74852827596521,公交站
138,,总统府·梅园新村(公交站),32.04483383817543,118.79108197376776,公交站
139,,南京图书馆(公交站),32.04407240062621,118.78955348045486,公交站
140,,大行宫西(公交站),32.04320710470387,118.78739805435775,公交站
141,,龙蟠路·南京站西(公交站),32.09041486985475,118.78628594847967,公交站
142,,中央门立交(公交站),32.09158106660236,118.77927162983289,公交站
143,,汉中路·汉中门(公交站),32.044947293632205,118.76239050318446,公交站
144,,总统府(公交站),32.044803867769915,118.79176914907424,公交站
145,,黑龙江路西(公交站),32.09022548548495,118.76698297442724,公交站
146,,汉中门(公交站),32.04493513090791,118.76213832839359,公交站
147,,镇江路(公交站),32.075656855914815,118.74941909843767,公交站
148,,新门口(公交站),32.08811924586651,118.7616069724168,公交站
149,,龙蟠中路·荷包套(公交站),32.05323819523344,118.8025081270452,公交站
150,,罗廊巷·石鼓路(公交站),32.043114500361696,118.76610856715317,公交站
151,,虎踞路·清凉山(公交站),32.049193620824255,118.75529017438174,公交站
152,,太平门(公交站),32.05944481512784,118.80608463315107,公交站
153,,中央门西(公交站),32.092153820081016,118.77633878848447,公交站
154,,新街口·石鼓路(公交站),32.04109408743951,118.77672498245595,公交站
155,,王府大街·石鼓路(公交站),32.04115676239247,118.77456335020355,公交站
156,,中央门东(公交站),32.09201028542068,118.7810209891518,公交站
