地址,名称,维度,经度,类型
,孟北(地铁站),32.084468,118.987240,地铁站
,吉印大道(地铁站),31.886166,118.795507,地铁站
,葛塘(地铁站),32.244525,118.753717,地铁站
,南京交院(地铁站),31.912860,118.904804,地铁站
,马骡圩(地铁站),31.973150,118.588380,地铁站
,西岗桦墅(地铁站),32.098965,118.996482,地铁站
,白象(地铁站),32.134791,118.984866,地铁站
,仙林湖(地铁站),32.125509,118.992658,地铁站
,汤泉西路(地铁站),32.048638,119.014388,地铁站
,秣周东路(地铁站),31.868977,118.831022,地铁站
,栖霞(地铁站),32.144096,118.999050,地铁站
,中国药科大学(地铁站),31.897684,118.914127,地铁站
,兰花塘(地铁站),31.958260,118.574859,地铁站
,长芦(地铁站),32.273454,118.776599,地铁站
,双垅(地铁站),31.948288,118.567483,地铁站
,化工园(地铁站),32.285380,118.785560,地铁站
,汤山镇(地铁站),32.057298,119.039618,地铁站
,正方中路(地铁站),31.845115,118.805809,地铁站
,石碛河(地铁站),31.938032,118.558049,地铁站
,汤山(地铁站),32.057656,119.054209,地铁站
,黄梅(地铁站),32.038077,119.054005,地铁站
,桥林新城(地铁站),31.929882,118.547446,地铁站
,六合开发区(地铁站),32.305162,118.805296,地铁站
,宝华山路(地铁站),32.020407,119.065104,地铁站
,林山(地铁站),31.918826,118.531084,地铁站
,龙池(地铁站),32.319014,118.820150,地铁站
,龙潭站(地铁站),32.170374,119.058186,地铁站
,高家冲(地铁站),31.909242,118.517253,地铁站
,保税物流中心(地铁站),32.184336,119.069182,地铁站
,雄州(地铁站),32.334610,118.836662,地铁站
,翔宇路北(地铁站),31.791284,118.821542,地铁站
,凤凰山公园(地铁站),32.346842,118.845116,地铁站
,方州广场(地铁站),32.359539,118.850115,地铁站
,翔宇路南(地铁站),31.754866,118.829201,地铁站
,柘塘(地铁站),31.756740,118.937897,地铁站
,空港新城江宁(地铁站),31.737687,118.887659,地铁站
,禄口机场(地铁站),31.730370,118.873817,地铁站
,沈桥(地铁站),32.399891,118.891854,地铁站
,空港新城溧水(地铁站),31.733816,118.989250,地铁站
,铜山(地铁站),31.696082,118.881885,地铁站
,八百桥(地铁站),32.427050,118.933243,地铁站
,群力(地铁站),31.720852,119.014396,地铁站
,金牛湖(地铁站),32.465430,118.964703,地铁站
,石湫(地铁站),31.640387,118.907380,地铁站
,卧龙湖(地铁站),31.686304,119.043290,地铁站
,溧水(地铁站),31.662243,119.044582,地铁站
,中山湖(地铁站),31.646761,119.045275,地铁站
,幸庄(地铁站),31.624602,119.046113,地铁站
,无想山(地铁站),31.611448,119.046528,地铁站
,明觉(地铁站),31.546324,118.902178,地铁站
,团结圩(地铁站),31.395788,118.887696,地铁站
