地址,名称,维度,经度,类型
山西路8号金山大厦B楼10层B座,环球职业教育,32.068333,118.772118,学校
锁金村街道锁金村10号,南京邮电大学(锁金村校区),32.070463,118.814272,学校
瑞金路6-1号,南京市第一中学初中部,32.031402,118.80751,学校
汉中路282号,南京中医药大学(汉中门校区),32.043785,118.767241,学校
长江路260号,南京市长江路小学,32.044856,118.792215,学校
板仓街78号,南京师范大学紫金校区,32.072113,118.820824,学校
华侨路街道虎踞路175号,江苏第二师范学院附属小学,32.055262,118.755283,学校
建宁路140号,长平路小学,32.09456,118.758276,学校
北京西路77号,江苏第二师范学院(草场门校区),32.057884,118.754425,学校
龙蟠路151-2号,南京市科利华小学,32.081921,118.806166,学校
新街口游府西街46号,南京广播电视大学,32.039409,118.78863,学校
二板桥555-4号,南京特殊教育师范学校第二附属小学,32.079593,118.73984,学校
芦席营86号,天正小学(琅小分校),32.085312,118.780649,学校
虎踞北路15号南京艺术学院体育馆,南京艺术学院体育器材室,32.062067,118.752022,学校
中山北路101号中央广播电视大学,国家开放大学汇文教学点,32.065831,118.775078,学校
工农新村104号,南京市民生实验小学,32.094986,118.766643,学校
东妙峰庵1号,南京财经大学附属小学,32.085808,118.758246,学校
汉口路9号,南京大学鼓楼校区鼓楼校区南园,32.052092,118.780912,学校
苜蓿园大街128号邮局6楼,南京正人少儿艺术学院(秦淮校区),32.028571,118.831372,学校
金陵小区新四村30号,滨江小学(燕康园北),32.110938,118.76678,学校
中山路99号12楼,iBelong妈妈学院新街口校区,32.046867,118.783587,学校
双塘路59号,双塘小学,32.022792,118.773566,学校
拉萨路近广州路7号,拉萨路小学(新华校区),32.047484,118.778828,学校
中山北路105中环国际广场商务楼12层,江苏工会职业技术学校,32.066634,118.772852,学校
湖南路街道汉口路22号,南京大学鼓楼校区体育部,32.055728,118.778271,学校
汉口路22号南京大学逸夫馆,南京大学鼓楼校区-逸夫管理科学楼,32.057817,118.777616,学校
中山北路200号,南京大学鼓楼校区教务处网络教学管理室,32.057174,118.780067,学校
安品街58号,南京市第五初级中学冶城校区,32.029309,118.775906,学校
山西路68号颐和商厦,鼓楼创业学院,32.067780,118.771580,学校
上海路209号,大公驾校报名处,32.057630,118.774080,学校
古平岗35-1号,江苏城市职业学院定淮门东校区,32.069123,118.754682,学校
赤壁路10号,赤壁路小学,32.065883,118.7664,学校
尖角营,南京市第九初级中学尖角营校区,32.0554,118.786348,学校
宁海路39号,宁海中学,32.060834,118.771112,学校
北圩路41号,南京晓庄学院莫愁校区,32.037259,118.751532,学校
御道街35号,南京航空航天大学附属高级中学蓝旗街校区,32.027436,118.817936,学校
后标营42号,后标营小学,32.02994,118.824297,学校
许府巷,南京田家炳高级中学进学楼(四合院),32.084072,118.776741,学校
文昌巷74号,南京市五老村小学,32.036166,118.796181,学校
中山南路301号,南京市第一中学,32.02759,118.784277,学校
灵隐路12,琅琊路小学,32.061315,118.766512,学校
洪庙巷5号(港宁园小区西南),南京育英外国语学校,32.083295,118.765009,学校
大光路51号,光华门小学,32.022938,118.808799,学校
二板桥349号,南京市复兴小学,32.083728,118.740974,学校
姜家园111号,姜家园小学,32.083647,118.745113,学校
天津路1号,南京大学鼓楼校区计算中心,32.057649,118.781290,学校
西康路1号河海大学,国际教育学院,32.055935,118.763304,学校
光华路街道光华东街12号,南京市光华东街小学,32.024339,118.81973,学校
汉口路59号,汉口路小学,32.052217,118.779279,学校
广州路5号君临国际2幢906室,美国芝加哥康考迪亚大学南京办事处,32.049785,118.782143,学校
慧园街24号(近王府园小区),南京市慧园街小学,32.025484,118.787499,学校
珠江路217号,南京师范大学附属小学(珠江路校区),32.050065,118.790284,学校
集庆门大街文体路99号,南京市建邺实验小学分校,32.019646,118.758659,学校
中山路169号,金陵中学,32.048281,118.782,学校
小西湖小区对面,南京市小西湖小学(老门东校区),32.015619,118.78678,学校
