地址,名称,维度,经度,类型
寅春路75号附近,寅春路海绵湿地公园,32.120902,118.846333,公园
白马山庄1号,白马公园,32.060717,118.816699,公园
G42沪蓉高速西150米,三桥湿地公园,31.959808,118.651586,公园
滨江大道东100米,绿水湾湿地公园,32.016123,118.650420,公园
狮山路,狮子山公园,31.770044,118.778224,公园
火炬南路东150米,柳洲小游园,32.140604,118.716434,公园
航城路16号,511公园,32.036418,118.806675,公园
文枢西路西100米(仙鹤门奥克斯钟山府),龟山公园,32.089932,118.905820,公园
邹庄路东150米,南京灵岩山市级森林公园,32.293309,118.883711,公园
砂之船路与紫金路交叉口东北150米,紫金足球体育公园,31.864998,118.827238,公园
黄山岭路,南京老山森林公园,32.112742,118.618313,公园
环园路与九乡河西路交汇处,羊山公园,32.11045,118.941832,公园
油坊中心路西50米,春江新城郊野公园,31.962384,118.729743,公园
宝塔北路1号,宝塔山遗址公园,31.860431,118.978608,公园
石象路7号中山陵园风景区,前湖公园,32.048093,118.832919,公园
纬地路附近,南京市仙林湖公园,32.126923,118.985759,公园
小龙湾路与谭园路交汇处西50米,江宁(杨家圩)市民公园,31.940677,118.833789,公园
新林大道东50米,莲花湖公园,31.909791,118.659256,公园
玄武门街道玄武大道96号,南京聚宝山公园,32.096796,118.878323,公园
浦珠南路30号,中央森林公园,32.081494,118.638812,公园
虹桥与西流湾交叉口东50米,万荣园,32.073651,118.770888,公园
栖霞街道南京经济技术开发区兴智路6-3号,创新公园,32.137365,118.877904,公园
和燕路附近(沿江大道北侧),长江观音景区-观音阁公园,32.143713,118.815466,公园
南炼7号路5号,南炼公园,32.151182,118.92766,公园
中和桥路与光华路交叉口东150米,光华游园,32.020110,118.817241,公园
化纤新村,伯乐园,32.128154,118.819683,公园
弘景大道,江宁大学城公园,31.903807,118.890643,公园
东山街道机场线香樟园西北150米,东山香樟园采莲池,31.973841,118.841990,公园
202县道东50米,青龙湖生态园,31.891758,118.954680,公园
延安路47号,凤凰山公园,32.348826,118.842617,公园
中山门外石象路7号钟山风景名胜区头陀岭景区内,钟山风景区-山顶公园,32.070515,118.842284,公园
建新村,麒麟生态公园,32.015017,118.897688,公园
沿山大道,顾昊墓石刻-佛手湖公园,32.108373,118.652809,公园
仙林大道(近绕越高速),九乡河生态公园,32.121131,118.948121,公园
双柳村191号,八卦洲,32.156701,118.796989,公园
滨江路与迎江路交叉口东北200米,桥北滨江生态公园,32.113281,118.734377,公园
岔琥路,黑石公园,32.121116,118.597702,公园
自在城小区对面,金地体育公园,31.904173,118.65748,公园
新华路633号,平顶山公园,32.236457,118.769155,公园
板桥汽渡东,水利公园,31.953294,118.649932,公园
江浦街道南门上河街12-7号,河滨公园,32.055053,118.631155,公园
宁芜大道与盛安大道交叉口东南100米,滨江新城公园,31.825355,118.589954,公园
文枢西路仙鹤新天地广场东北350米,仙鹤门公园,32.087431,118.906658,公园
东坝街道游子山环山路6号,游子山国家森林公园,31.376260,119.071766,公园
锦文路,石刻湖公园,31.848768,118.598923,公园
江堤路江心洲鼋头石湿地风景区,洲头公园,31.988061,118.671094,公园
东新南路与金箔路交叉口西南100米,江宁双拥公园,31.947810,118.854920,公园
江堤路,大江侧滨江风光带,32.009889,118.680820,公园
马鞍镇北部,南京平山森林公园,32.459991,118.844695,公园
珍珠街178号珍珠泉旅游度假区野生动物生态园内,珍珠泉旅游度假区-猴园,32.122572,118.661969,公园
象山水库,象山湖市民公园,32.094438,118.625259,公园
滁河大桥,河岸花海,32.146552,118.552543,公园
千里眼大道与弘景大道交叉口西100米,江宁区大学城天印湖公园,31.916747,118.877605,公园
,金乌温泉公园,32.045632,119.054068,公园
神山路附近,神山头公园,31.787395,118.633937,公园
钟秀街与顾家营路交叉口北200米,紫金华府公园,32.039375,118.882110,公园
宝塔路60号,泮池园,31.321615,118.871804,公园
七里河大街与滨江大道交叉口东南150米,浦口滨江湿地公园,32.069186,118.692145,公园
江宁街道牛首山风景区停车场,牛首山-森林公园,31.908445,118.748940,公园
中山门外石象路7号中山陵园风景区明孝陵景区内,营盘山公园,32.065899,118.817325,公园
文四路与言和路交叉口西150米,华电西苑山体公园,32.095678,118.812466,公园
石臼湖南路与宝塔路交叉口,宝塔公园,31.320982,118.888878,公园
汤山街道美泉路与泉都大街交界处往西200米,南京汤山矿坑公园,32.041439,119.038546,公园
桂子山烈士陵园北,江苏六合国家地质公园,32.461890,118.935031,公园
扬子江大道,建邺区海峡城南京鱼嘴湿地公园,31.980258,118.676448,公园
秣周路东50米,上秦淮生态湿地公园,31.869313,118.836913,公园
启迪大街与文荟路交叉口东100米,沧波门公园,32.027720,118.892469,公园
平山镇,南京平山省级森林公园,32.446055,118.813819,公园
天印大道与滨湖大道交叉口东北50米,天印湖,31.920150,118.884520,公园
灵谷寺路,钟山国家重点风景名胜区-灵谷景区,32.054075,118.866686,公园
史家路与慢城绿道交叉口东北150米,固城湖国家城市湿地公园,31.326161,118.90939,公园
菲尼克斯路79号,79号汽车公园,31.933539,118.830260,公园
河滨路与珠泉路交叉口东南50米,下河街游园,32.054406,118.633229,公园
燕子矶街道太平村95-2号门坡,兰花园,32.137048,118.815242,公园
牛首大道振容路1号,南京雕塑公园,31.866126,118.700173,公园
栖霞区体育馆和图书馆之间,姚坊门文体公园,32.128387,118.882137,公园
湖圣路与581乡道交叉口,湖山小火车公园,32.086384,119.023347,公园
双拜巷108号,钟山足球公园,32.028938,118.867114,公园
新城路太平山公园,太平山公园,32.163647,118.957091,公园
永阳镇草鞋山路与随园路交界处,幸庄湿地公园,31.618994,119.033263,公园
高桥社区后庄20号富康路,银杏园(富康路),31.993886,118.859949,公园
龙飞路81号,石林公园,31.927608,118.660690,公园
玄武巷1号(近洞庭路)玄武湖公园内,惠园,32.085992,118.792585,公园
,滁河湾湿地公园,32.325702,118.844428,公园
岱山南路,六朝古都遗址公园,31.940974,118.702939,公园
西湖村,极限体育运动公园,31.834058,118.664892,公园
雨山西路与黄山岭路交叉口东50米,森林大道游园,32.063818,118.618976,公园
仙尧路与拥军路交叉口东北50米,姚坊门遗址公园,32.104859,118.879113,公园
环城公路附近,南湾营公园,32.034498,118.89893,公园
小漓江路北150米,小漓江生态湿地,32.171550,118.900022,公园
东麒路与钟学路交叉口,麒麟中央公园1期,32.014874,118.896471,公园
汤泉西路汤山国家地质公园,南京直立人化石遗址公园,32.054974,119.040404,公园
,百合湖公园,31.978563,118.548727,公园
古棠大道和龙池路交汇处,文石公园,32.325409,118.841012,公园
城东路与通湖路交叉口东50米,新天地公园,31.966246,118.870529,公园
横溪蟠龙湖,南京市蟠龙湖森林公园,31.669839,118.805059,公园
X303(黄山岭路),公园北路.黄山岭路,32.064125,118.618566,公园
创业路西100米,丝兰湖公园,31.965403,118.55039,公园
周村街与西柿路交叉口西150米,永盛奥林匹克公园,31.940735,118.691336,公园
宁峰路17号附近,上峰公园,32.00422,119.051559,公园
宝塔桥东街6号,南堡公园,32.110462,118.755036,公园
红山街道红山路157号红山公园,红山公园,32.093038,118.807403,公园
宁芜公路与G42沪蓉高速入口交叉口东北150米,建宁公园,31.950460,118.698486,公园
城南河路与滨江大道交叉口东南200米,青奥绿水湾湿地公园,32.038089,118.662497,公园
上佘路与李家路交叉口南200米,村口公园,31.980570,118.930130,公园
小龙湾路西150米,外港河体育公园,31.945829,118.835866,公园
,南京六合止马岭森林公园,32.568951,118.584015,公园
701县道西200米,六合竹镇森林公园,32.556093,118.628504,公园
天秣线与方印路交叉口南50米,方山健康体育主题公园,31.911158,118.870202,公园
东洪线附近,无想,31.609256,119.025497,公园
梅林街11号芭乐公园,芭乐公园,31.898325,118.839292,公园
东山枢纽与G2501南京绕城高速交叉口西北150米,江宁区反邪教文化主题公园,31.944405,118.885234,公园
梅山生活区内,梅山文化公园,31.89959,118.629302,公园
珍珠泉旅游度假区达摩主题公园,珍珠泉旅游度假区-达摩主题公园,32.123890,118.654459,公园
莉湖路附近,莉湖公园,32.320349,118.841779,公园
中山东路与246省道交汇处,秦淮源公园,31.644378,119.055986,公园
新棠路与白果南路交叉口南200米,茉湖公园,32.318423,118.832038,公园
无付线与无想山大道交叉口东南,南京市无想山景区,31.611457,119.025503,公园
海泽路33号西北方向158米,南京汤山国家地质公园,32.057481,119.054482,公园
沿山大道与象山路交叉口西北100米,象山湖公园,32.086852,118.622144,公园
清水亭东路99-9号(马家头教堂旁边),红萍果婚恋园,31.912975,118.847888,公园
丹青路与开城路交叉口东北100米,奇石公园,32.047463,118.927192,公园
左山线与341省道交叉口东100米,明觉寺森林公园,31.580959,118.897864,公园
602县道东150米,星甸街道中央湿地公园,32.029822,118.454528,公园
冶山街道冶山国家矿山公园,南京冶山国家矿山公园,32.515679,118.963539,公园
中兴西路100号,团山公园,31.696848,119.023043,公园
启迪大街与文荟路交叉口北50米,沧波览胜,32.028082,118.891730,公园
029县道东50米,马家桥生态境园,32.068881,118.938981,公园
圣汤大道东200米,汤水河公园,32.035537,119.054647,公园
桥百线东100米,玉兰湖公园,31.981131,118.536649,公园
地七线,南京科学城V-park中央公园,31.953806,118.564502,公园
新区路与朱山路交叉口西南200米,柏树文体公园,31.868607,118.648402,公园
银杏湖大道东50米,春昊园,31.825874,118.696788,公园
宁滁快速通道与张圩路交叉口西南200米,滁河风光带,32.147917,118.547673,公园
永阳镇宝塔路西100米,宝塔公园(万辰广场北),31.659484,119.023446,公园
东屏镇金山路99号,大金山-国防园,31.693186,119.119152,公园
42国道雨发生态园,龙马遗址文化公园,32.027927,118.540070,公园
步月路与紫峰路交叉口东南100米,琼花湖公园,31.965801,118.539931,公园
舍得庄园西400米(同人路北),马娘娘文化主题公园,32.212237,118.818535,公园
新锁路北50米,锁廉园,32.062405,118.982116,公园
圣汤大道东100米,汤泉湖公园,32.048711,119.069752,公园
长江南京段上游,江苏南京长江新济州国家湿地公园,31.844740,118.525613,公园
三保路与宝塔路交叉口,濑渚州公园,31.320171,118.897018,公园
泉华路西100米,汤山山顶公园,32.055693,119.052908,公园
金牛湖街道六冶南路55号,八百桥公园,32.419150,118.933730,公园
,月鹭湖公园,31.711769,118.980474,公园
大丰路与镇兴路交叉口,凤岭公园,31.329444,118.874503,公园
固城湖水慢城(田园线东),南京固城湖水慢城百荷园,31.284934,118.886055,公园
竹镇镇,大泉人家,32.534078,118.652835,公园
延祥路,汤山国际沙排体育公园,32.041200,119.063164,公园
紫藤路与香樟路交叉口东50米,紫藤园,32.050977,119.061361,公园
X304(星龙路),星甸镇中央湿地公园,32.029887,118.454823,公园
永欣大道南50米,禄口街道法治文化公园,31.768078,118.868206,公园
中央门街黑龙江汇林路,上林苑,31.911991,119.053436,公园
大泉湖路与梅云路交叉口东北200米,游憩园,32.533797,118.649550,公园
丹阳湖北路40号,武家嘴法治文化公园,31.337201,118.897294,公园
机场东路西50米,峨眉公园,32.349927,118.861168,公园
六冶南路与新园路交叉口南100米,金牛湖街道党建文化主题公园,32.419188,118.933475,公园
梅云路北150米翠竹园附近,玉兰园,32.533256,118.649902,公园
石臼湖北路与芜太公路交叉口东北200米,市政公园,31.340830,118.889246,公园
136乡道西50米,黄天荡湿地公园,32.236393,119.124583,公园
天生桥路与S55宁宣高速入口交叉口西南50米,钱塘公园,31.636720,119.011430,公园
致远路西50米,溧水区竹溪公园,31.645461,119.040822,公园
南湖东路与彩虹苑路交叉口,南湖公园(装修中),32.027424,118.76231,公园
铁心桥高家库,将军山风景区-江苏省森林公园(暂停营业),31.920469,118.765349,公园
新马路2号,浦口公园(装修中),32.10212,118.719705,公园
大桥北路山面上,宝塔山森林公园(暂停营业),32.144291,118.719399,公园
双龙大道1722号,魔法城主题公园(装修中),31.927395,118.825882,公园
大西门街96号,状元坊公园(建设中),31.653315,119.0216,公园
