地址,名称,维度,经度,类型
马道街119号,木匠营小区,32.014227,118.791042,小区
蔡家苑20,蔡家苑,32.014284,118.790128,小区
春光里1-81号,春光里小区,31.998273,118.800943,小区
共青团路22号附近,品泽公寓,32.003101,118.776849,小区
长乐路226号,长乐花园,32.013301,118.795127,小区
水佐营与磊功巷交叉口南100米,水佐营16号,32.014278,118.791593,小区
信府河129号附近,沐风巷,32.013053,118.783471,小区
马道街99号宏图·上花园,宏图·上花园3期,32.014449,118.789490,小区
夫子庙马道街99号,上花园,32.014448,118.789491,小区
旭光里2号,南京市红十字会雅居乐花园小区衣物捐赠箱,32.010677,118.799684,小区
中华门与应天西路交界处,晨光厂职工小区,32.013889,118.785014,小区
上码头与窑湾街交叉口东南50米,水榭华庭,32.010585,118.77955,小区
三七八巷与木匠营交叉口南50米,木匠营10号,32.014586,118.790816,小区
雨花东路146号(紫荆广场·花漫里1层百货区),紫荆国际公寓,31.992745,118.793622,小区
宏光路,宇秦园,32.005026,118.802785,小区
红花村2号,旭光里,32.007898,118.801883,小区
长乐路184-7号,佳尚经典,32.014084,118.794060,小区
文旭路,南京雅乐居花园,32.009978,118.800855,小区
雅居乐长乐渡北(老门东西北),信府河105号,32.014100,118.784371,小区
永乐路73号附近,洪家园98号,31.996622,118.80071,小区
普德村路,普德村132号,32.002321,118.77609,小区
明匙路与永乐南路交叉口东北100米,东瓜匙87号,31.995311,118.799459,小区
秦虹街道,旭光里2号,32.008880,118.801840,小区
夫子庙马道街,马道街小区,32.015100,118.789600,小区
秦虹路8号附近,文圣山水,32.011182,118.800052,小区
宏光路77号,晨光新苑,32.002882,118.803485,小区
马道街6-8号,宏图上福园(南园),32.014171,118.783714,小区
共青团路132号,普德村128号小区,32.001596,118.775858,小区
小西湖23-5号附近,西湖里9号,32.015172,118.787270,小区
平江府路与长乐路交叉口东南100米,饮虹园,32.015085,118.792650,小区
马道街123号302室,水佐营小区,32.015290,118.791412,小区
长乐路141号,三七八巷,32.015373,118.790913,小区
雨花西路16号,雨花苑小区,32.005671,118.775811,小区
中华路与西干长巷交叉口北100米,六角井6号,32.012850,118.780757,小区
明匙路与永乐南路交叉口东北200米,东瓜匙100号,31.995695,118.800639,小区
夫子庙街道长乐路骂架桥11号02栋,骂驾桥,32.01497,118.794477,小区
雨花西路19号,普德花园东区,32.004734,118.775359,小区
秦虹路红花村25号,精彩住宅,32.011823,118.800217,小区
中华路与西干长巷交叉口北150米,六角井8号,32.012916,118.780481,小区
文北巷与旭光路交叉口西北100米,红花村160号,32.011507,118.800659,小区
普德村路120号附近,普德村120号,32.002357,118.775175,小区
西干长巷2号东北70米,六角井5号,32.012893,118.780250,小区
雨花西路16号31附近,满糖花园,32.005486,118.775288,小区
西干长巷2号东北60米,六角井7号,32.012910,118.780194,小区
明匙路东瓜匙路,迎春苑,31.994030,118.799271,小区
应天大街106号,南京市红十字会良城美景小区衣物捐赠箱,32.006246,118.804012,小区
中华路与西干长巷交叉口西北150米,六角井9号,32.012942,118.780144,小区
莲子营13号附近,莲子营6号,32.015550,118.793543,小区
霞光里79号,霞光里小区,31.999889,118.803865,小区
莲子营13号附近,莲子营7号,32.015573,118.793507,小区
西干长巷2号附近,六角井13号,32.012933,118.780005,小区
秦淮区中华路519号,中华路517号公寓,32.014576,118.782817,小区
长乐路157-5号附近,莲子营小区,32.015604,118.793514,小区
共青团路62号2楼,运维播控中心,32.000561,118.775246,小区
莲子营15号附近,骂架桥3幢小区,32.015435,118.794246,小区
卡子门大街29号F3层,康盛花园-雨馨苑,31.990761,118.789986,小区
新区玉兰路1号,康盛花园4期,31.990812,118.788000,小区
莲子营3号附近,莲子营4号,32.015779,118.793525,小区
长乐路与江宁路交叉口,白鹭新村,32.015189,118.795562,小区
长乐路135号,翠亭园,32.016187,118.790652,小区
西干长巷2号北60米,六角井17号,32.013075,118.779788,小区
秦虹路红花村165号,水利花苑(文安街),32.013089,118.799594,小区
中牌楼东95号,中牌楼小区,32.002243,118.804706,小区
玉兰路1号,康盛花园,31.990646,118.788665,小区
永乐北路43号,阳光里小区,31.997731,118.803211,小区
西干长巷2号北60米,六角井19号,32.013096,118.779737,小区
育仁路155号,中牌楼东95号小区,32.002743,118.804813,小区
育仁路121号,育仁雅居,32.000991,118.80457,小区
小西湖2-10号,小西湖小区,32.016228,118.78779,小区
中山南路689号(三山街),美河园,32.011634,118.777945,小区
莲子营5-15号附近,莲子营8号,32.015918,118.793569,小区
小西湖30号102室(西湖小学正对面),咖喱花园,32.016122,118.786864,小区
育仁路129号附近,温馨家园,32.001794,118.804833,小区
西干长巷2号北50米,六角井31号,32.013138,118.779534,小区
普德村路116-2号附近,普德村117号,32.003257,118.774388,小区
应天大街119号,康业里小区西区,32.005108,118.804883,小区
共青团路34号,清源楼,31.999754,118.77496,小区
雨花西路35号,苏博花雨公寓,32.005265,118.774464,小区
马道街1-1号,宏图上福园,32.015589,118.784019,小区
文东巷与文安东街交叉口西150米,文东巷,32.010246,118.802872,小区
马道街1-1号附近,宏图·上福园北园,32.015549,118.783723,小区
普德村路151附近,普德村153号,32.003925,118.774225,小区
长乐路104号,长乐路104号院,32.016567,118.788238,小区
康居西路西200米,丁家园32号,32.008455,118.804150,小区
长乐路86号,长乐路小区,32.016694,118.789188,小区
雨花新村一号路与雨花新村三号路交叉口东北50米,雨花新村-一村,31.998723,118.775065,小区
秦虹路41号,龙蟠花苑北园,32.012821,118.800786,小区
西干长巷2号北90米,六角井36号,32.013406,118.779285,小区
秦虹路80号附近,罗马世纪城,32.012316,118.801400,小区
西干长巷2号西北80米,六角井49号,32.013249,118.778997,小区
秦虹路78号附近,龙蟠南苑,32.012363,118.801437,小区
秦虹路41号,龙蟠花苑(秦虹路),32.012876,118.800891,小区
秦虹路80号,龙蟠花苑南园,32.012338,118.801543,小区
长乐街65号(大众服装对面),糖坊廊,32.014725,118.781076,小区
中山南路与西干长巷交叉口东150米,六角井51号,32.013239,118.778788,小区
大油坊巷39-43号,大油坊巷小区,32.016583,118.786071,小区
饮马巷45号附近,六角井34号,32.013640,118.779212,小区
龙蟠中路584号,白鹭东苑,32.015076,118.797943,小区
康居西路与文安东街交叉口西南150米,丁家园20号,32.008868,118.804364,小区
